상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,건물명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
농심가수퍼,소매,종합소매점,수퍼마켓,슈퍼마켓,철산8단지주공아파트,경기도 광명시 철산동 235,경기도 광명시 모세로 27,14230,37.4823737778,126.8684858542
농심가체인점,소매,종합소매점,수퍼마켓,슈퍼마켓,정산빌딩,경기도 광명시 하안동 200-2,경기도 광명시 하안로 254,14307,37.4591256325,126.8829835416
농원,소매,선물/팬시/기념품,꽃집/꽃배달,화초 및 산식물 소매업,,경기도 광명시 노온사동 385-1,경기도 광명시 광명로 451,14336,37.4413012976,126.8427954563
농협한삼인,소매,건강/미용식품,인삼제품판매,건강보조식품 소매업,대한예수교장로회함께하는교회,경기도 광명시 하안동 864,경기도 광명시 가림일로 88,14256,37.4685420272,126.8672106543
누구나홀딱반한닭,음식,유흥주점,호프/맥주,기타 주점업,,경기도 광명시 소하동 1240-4,경기도 광명시 기아로 26,14327,37.4361044696,126.8823988214
누나홀닭,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,,경기도 광명시 하안동 37-1,경기도 광명시 하안로 293-14,14305,37.4614100145,126.8789560334
누네띠네안경,소매,사진/광학/정밀기기소매,안경원,안경 소매업,,경기도 광명시 소하동 35-1,경기도 광명시 금하로 532,14318,37.4509885193,126.891065739
누네띠네안경콘택트,소매,사진/광학/정밀기기소매,안경원,안경 소매업,,경기도 광명시 소하동 34-70,경기도 광명시 금하로 533,14314,37.4515743503,126.8912569925
누네띠네안경콘택트,소매,사진/광학/정밀기기소매,안경원,안경 소매업,우림필유아파트,경기도 광명시 소하동 1272,경기도 광명시 하안로 180-14,14313,37.4533831685,126.8889600445
누들본가일품칼국수함흥냉면,음식,분식,국수/만두/칼국수,분식 및 김밥 전문점,,경기도 광명시 소하동 1371-2,경기도 광명시 기아로62번길 16-13,14325,37.4354410793,126.8857331117
누리모터스,소매,자동차/자동차용품,중고자동차판매,중고 자동차 판매업,하안9단지고층주공아파트,경기도 광명시 하안동 13,경기도 광명시 하안로 364,14246,37.4675441425,126.8773746658
누수하수구25,생활서비스,주택수리,수도설비,배관 및 냉·난방 공사업,LG베스트빌라,경기도 광명시 광명동 60-29,경기도 광명시 사성로6번길 19-1,14211,37.4835955295,126.8578218072
누수하수구막힌변기배관뚫음수도설치,생활서비스,주택수리,수도설비,배관 및 냉·난방 공사업,무송빌라,경기도 광명시 광명동 78-14,경기도 광명시 명일로91번길 14-1,14213,37.482482766,126.8615097636
누수하수구변기막힘뚫음설치,생활서비스,주택수리,수도설비,배관 및 냉·난방 공사업,광명해모로이연,경기도 광명시 광명동 785,경기도 광명시 목감로 58,14295,37.4731827019,126.8458249856
누이실내포차,음식,유흥주점,소주방/포장마차,기타 주점업,,경기도 광명시 광명동 290-52,경기도 광명시 광명로 837,14291,37.4739285468,126.8512045386
누이포차,음식,유흥주점,소주방/포장마차,기타 주점업,,경기도 광명시 광명동 290-52,경기도 광명시 광명로 837,14291,37.4739285468,126.8512045386
눈높이,학문/교육,학문교육기타,학습지보급,방문 교육 학원,제일빌딩,경기도 광명시 하안동 36-1,경기도 광명시 범안로 1042,14305,37.4617434189,126.8789893922
눈높이,학문/교육,학문교육기타,학습지보급,방문 교육 학원,성림빌딩,경기도 광명시 철산동 257,경기도 광명시 철산로 3-9,14235,37.4763525063,126.8662016762
눈높이러닝센타,학문/교육,학문교육기타,학습지보급,방문 교육 학원,,경기도 광명시 광명동 149-6,경기도 광명시 오리로 946,14221,37.4784602287,126.8581256784
눈높이러닝센타,학문/교육,학원-보습교습입시,학원-입시,일반 교과 학원,뉴코아빌딩,경기도 광명시 하안동 52-5,경기도 광명시 하안로287번길 5,14305,37.4610147322,126.8800643719
눈사랑안경,소매,사진/광학/정밀기기소매,안경원,안경 소매업,,경기도 광명시 광명동 158-1,경기도 광명시 광이로13번길 7,14221,37.4797654044,126.8570943382
눈사랑안경,소매,사진/광학/정밀기기소매,안경원,안경 소매업,크로앙스,경기도 광명시 광명동 150-19,경기도 광명시 오리로 970,14220,37.4793760842,126.8555688275
눈사랑의원,의료,병원,일반병원,일반 병원,,경기도 광명시 소하동 1242-13,경기도 광명시 오리로 374,14327,37.4357142086,126.8796537621
눈썹공주,생활서비스,이/미용/건강,발/네일케어,기타미용업,,경기도 광명시 광명동 262-8,경기도 광명시 광명로831번길 32,14292,37.4744833239,126.8482415221
눈썹나라,생활서비스,이/미용/건강,비만/피부관리,,,경기도 광명시 광명동 113-9,경기도 광명시 광명로928번길 27,14218,37.4808482073,126.8584037194
눈썹의여왕,생활서비스,이/미용/건강,비만/피부관리,,주공상가,경기도 광명시 철산동 241-2,경기도 광명시 철산로 43,14232,37.4771862997,126.8704848868
눈썹의여왕,생활서비스,이/미용/건강,여성미용실,두발미용업,,경기도 광명시 철산동 105-1,경기도 광명시 가마산로 7,14229,37.4844894308,126.8670122256
눈에띄네,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,정산빌딩,경기도 광명시 하안동 37-3,경기도 광명시 하안로 293-10,14305,37.461572549,126.8792948552
뉴-주공세탁소,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,하안12단지고층주공아파트,경기도 광명시 하안동 110,경기도 광명시 하안로 284,14306,37.4616854471,126.8839515142
뉴광명방앗간,생활서비스,세탁/가사서비스,방앗간/정미소,,청송빌딩,경기도 광명시 광명동 725-8,경기도 광명시 도덕로 52,14279,37.468795773,126.8534870314
뉴광명스포츠,학문/교육,학원-예능취미체육,학원-스포츠/재즈댄스,레크레이션 교육기관,,경기도 광명시 광명동 294-7,경기도 광명시 광명로 855,14290,37.4754616246,126.8522867292
뉴광명애견용품,의료,수의업,수의업-종합,수의업,,경기도 광명시 광명동 158-1428,경기도 광명시 광명로 868,14267,37.4764359473,126.85326833
뉴광명음악학원,학문/교육,학원기타,학원(종합),일반 교과 학원,,경기도 광명시 철산동 241-4,경기도 광명시 철산로29번길 12,14232,37.4777072204,126.8690142616
뉴광명체육관,스포츠,실내운동시설,헬스클럽,체력단련시설 운영업,동화빌딩,경기도 광명시 철산동 245-2,경기도 광명시 철산로29번길 7,14236,37.4771843874,126.8687890871
뉴광명피아노,학문/교육,학원-음악미술무용,피아노/바이올린/기타,예술 학원,,경기도 광명시 철산동 241-4,경기도 광명시 철산로29번길 12,14232,37.4777072204,126.8690142616
뉴멕스칸치킨호프,음식,유흥주점,호프/맥주,기타 주점업,,경기도 광명시 하안동 602-6,경기도 광명시 안재로14번길 10,14259,37.4597092084,126.8725162879
뉴발란스롯데아울렛광명,소매,의복의류,캐쥬얼/스포츠의류,셔츠 및 기타 의복 소매업,이케아광명점,경기도 광명시 일직동 500,경기도 광명시 일직로 17,14352,37.4240770913,126.8834009668
뉴베어OA,소매,사무/문구/컴퓨터,사무/문구용품,문구용품 소매업,,경기도 광명시 광명동 316-10,경기도 광명시 새터로 33,14275,37.4711834519,126.8535161929
뉴샤넬미용실,생활서비스,이/미용/건강,여성미용실,두발미용업,하안1단지고층주공아파트,경기도 광명시 하안동 682,경기도 광명시 안현로 15,14245,37.4648822203,126.8736828706
뉴서울다이빙풀,스포츠,실내운동시설,실내수영장,수영장 운영업,조일프라자빌딩,경기도 광명시 하안동 61-1,경기도 광명시 하안로288번길 15,14306,37.4621241744,126.8812380783
뉴서울컴퓨터부기학원,학문/교육,학원-컴퓨터,컴퓨터학원,컴퓨터 학원,일청빌딩,경기도 광명시 철산동 484-5,경기도 광명시 오리로 857,14250,37.4748207897,126.8661818557
뉴서울컴퓨터학원,학문/교육,학원-컴퓨터,컴퓨터학원,컴퓨터 학원,페어브리지,경기도 광명시 광명동 158-702,경기도 광명시 광명로878번길 22-11,14266,37.4760423655,126.8555414557
뉴소아청소년,의료,병원,소아과,일반 의원,광덕빌딩,경기도 광명시 철산동 495-12,경기도 광명시 오리로 853,14252,37.4744067502,126.8665443677
뉴스,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,,경기도 광명시 광명동 347-4,경기도 광명시 광명로831번길 12,14291,37.4737924084,126.8504360846
뉴스공인중개사사무소,부동산,부동산중개,부동산중개,부동산 자문 및 중개업,대우주택,경기도 광명시 광명동 259-38,경기도 광명시 광화로38번안길 1,14292,37.4752669664,126.8480703315
뉴스킨,소매,화장품소매,화장품판매점,화장품 및 방향제 소매업,철산래미안자이아파트,경기도 광명시 철산동 634,경기도 광명시 디지털로 56,14242,37.4717395009,126.8743154271
뉴스타노래방,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,,경기도 광명시 철산동 61-3,경기도 광명시 시청로 148,14226,37.487681486,126.8692339108
뉴신한모터스,소매,자동차/자동차용품,중고자동차판매,중고 자동차 판매업,,경기도 광명시 옥길동 416,경기도 광명시 금오로707번길 36,14298,37.464186376,126.8297929888
뉴실로암안경,소매,사진/광학/정밀기기소매,안경원,안경 소매업,서빈빌딩,경기도 광명시 철산동 509-267,경기도 광명시 도덕공원로 23,14253,37.471269926,126.8653744011
뉴안드레아기공소,의료,유사의료업,치과기공소,정형외과용 및 신체보정용 기기 제조업,현대타운,경기도 광명시 광명동 346-46,경기도 광명시 광명로 823,14294,37.4728740351,126.8509353567
뉴에스더미용실,생활서비스,이/미용/건강,여성미용실,두발미용업,,경기도 광명시 철산동 240-1,경기도 광명시 모세로 46,14232,37.4807626874,126.8699811176
뉴욕야시장,음식,한식,한식/백반/한정식,한식 음식점업,금봉빌딩,경기도 광명시 철산동 411,경기도 광명시 오리로856번길 8,14240,37.4747954768,126.8676741609
뉴욕키즈,소매,의복의류,아동복판매,셔츠 및 기타 의복 소매업,광명해모로이연,경기도 광명시 광명동 785,경기도 광명시 목감로 58,14295,37.4731827019,126.8458249856
뉴캔디,음식,유흥주점,룸살롱/단란주점,일반유흥 주점업,삼광빌딩,경기도 광명시 철산동 402,경기도 광명시 오리로856번길 21,14237,37.4755177658,126.8689842516
뉴코아아울렛,소매,종합소매점,할인점,기타 대형 종합 소매업,뉴코아아울렛,경기도 광명시 하안동 38,경기도 광명시 하안로287번길 8,14305,37.4611311432,126.8793747023
뉴타운,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 광명동 158-472,경기도 광명시 오리로949번길 14,14263,37.4773233348,126.8567938373
뉴플라워,소매,선물/팬시/기념품,꽃집/꽃배달,화초 및 산식물 소매업,,경기도 광명시 광명동 539-6,경기도 광명시 광명로 679-12,14300,37.4613503748,126.8441542918
뉴핑크코스메틱,소매,화장품소매,화장품판매점,화장품 및 방향제 소매업,와세다빌딩,경기도 광명시 광명동 149-2,경기도 광명시 오리로 942,14221,37.4783795129,126.8584310834
느낌표물음표논술교습소,학문/교육,학원-보습교습입시,학원-입시,일반 교과 학원,한일빌딩,경기도 광명시 하안동 34,경기도 광명시 하안로 315,14248,37.4633468729,126.8786815582
느낌피아노,학문/교육,학원-음악미술무용,피아노/바이올린/기타,예술 학원,하안11단지고층주공아파트,경기도 광명시 하안동 30,경기도 광명시 하안로 320,14247,37.4651858057,126.8795375859
느티나무농장,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 옥길동 342-2,경기도 광명시 식곡길 3,14298,37.4595485098,126.831352148
느티나무횟집,음식,일식/수산물,횟집,한식 음식점업,하안7단지고층주공아파트,경기도 광명시 하안동 295,경기도 광명시 금당로 13,14305,37.4596554887,126.8812872882
늑대와여우,소매,사무/문구/컴퓨터,컴퓨터전문매장,"컴퓨터 및 주변장치, 소프트웨어 소매업",,경기도 광명시 소하동 920-6,경기도 광명시 오리로 379,14333,37.4361011788,126.8792124599
늑대와여우컴퓨터,소매,사무/문구/컴퓨터,컴퓨터/사무용기기종합,"컴퓨터 및 주변장치, 소프트웨어 소매업",,경기도 광명시 철산동 56-235,경기도 광명시 사성로 75,14209,37.486901905,126.865119618
늑대와컴퓨터,생활서비스,개인/가정용품수리,컴퓨터수리,컴퓨터 및 사무용 기기 수리업,골든힐쇼핑센타,경기도 광명시 하안동 53-1,경기도 광명시 범안로 1056,14306,37.4623483604,126.8802091311
늘기쁨어린이집,학문/교육,유아교육,어린이집,보육시설 운영업,미도아파트2차,경기도 광명시 소하동 933,경기도 광명시 영당로22번길 19,14333,37.4363777173,126.8765905872
늘기쁨허브이야기,소매,건강/미용식품,다이어트상품판매,건강보조식품 소매업,,경기도 광명시 광명동 289-10,경기도 광명시 광오로9번길 4-2,14291,37.4748202113,126.8509540268
늘봄당구클럽,관광/여가/오락,PC/오락/당구/볼링등,당구장,당구장 운영업,현대타운,경기도 광명시 광명동 346-46,경기도 광명시 광명로 823,14294,37.4728740351,126.8509353567
늘봄한의원,의료,병원,한의원,한의원,웅신아트,경기도 광명시 소하동 1340-5,경기도 광명시 금하로 458,14316,37.4483229603,126.8832946107
늘샘어린이집,학문/교육,유아교육,어린이집,보육시설 운영업,,경기도 광명시 소하동 1265,경기도 광명시 오리로366번길 14,14327,37.43479657,126.8809885458
늘솜김밥,음식,분식,라면김밥분식,분식 및 김밥 전문점,,경기도 광명시 하안동 604-9,경기도 광명시 안재로10번길 22,14259,37.4601521854,126.8738718537
늘솜떡방,음식,제과제빵떡케익,떡전문,제과점업,철산시장,경기도 광명시 철산동 440,경기도 광명시 철산로30번길 15,14239,37.4747894643,126.8703195401
늘솜인테리어,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,그외 기타 분류안된 가정용품 소매업,하안현대아파트,경기도 광명시 하안동 707-9,경기도 광명시 가림일로 55,14257,37.4673754013,126.8634824836
늘솜쭈꾸미,음식,일식/수산물,낙지/오징어,한식 음식점업,,경기도 광명시 하안동 399-2,경기도 광명시 범안로 833,14261,37.4490200151,126.8617648779
늘솜쭈꾸미갑오징어,음식,일식/수산물,낙지/오징어,한식 음식점업,,경기도 광명시 하안동 399-2,경기도 광명시 범안로 833,14261,37.4490200151,126.8617648779
늘솜쭈꾸미앤막국수,음식,일식/수산물,낙지/오징어,한식 음식점업,,경기도 광명시 하안동 399-2,경기도 광명시 범안로 833,14261,37.4490200151,126.8617648779
늘편한내과의원,의료,병원,내과/외과,일반 의원,현대아이타워,경기도 광명시 광명동 158-81,경기도 광명시 광명로 906,14220,37.4796544878,126.8548447146
늘푸른검도,학문/교육,학원-예능취미체육,검도도장,스포츠 교육기관,계명빌딩,경기도 광명시 하안동 52,경기도 광명시 하안로287번길 13,14305,37.4605994958,126.8793190624
늘푸른농원,소매,선물/팬시/기념품,꽃집/꽃배달,화초 및 산식물 소매업,,경기도 광명시 소하동 135-3,경기도 광명시 오리로 551,14331,37.4513840828,126.8810633477
늘푸른어린이집,학문/교육,유아교육,어린이집,보육시설 운영업,하안11단지고층주공아파트,경기도 광명시 하안동 30,경기도 광명시 하안로 320,14247,37.4651858057,126.8795375859
늘푸른초원갈비,음식,한식,갈비/삼겹살,한식 음식점업,,경기도 광명시 광명동 158-308,경기도 광명시 새터로 122,14264,37.4778208553,126.8583982424
능률주니어랩,학문/교육,학원-어학,학원-어린이영어,외국어학원,하안3단지고층주공아파트,경기도 광명시 하안동 650,경기도 광명시 안현로 34,14248,37.4627132201,126.8759020251
능안,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 소하동 27-9,경기도 광명시 신촌북로 5,14318,37.4503842173,126.8903998605
능안해장국,음식,한식,해장국/감자탕,한식 음식점업,,경기도 광명시 소하동 27-9,경기도 광명시 신촌북로 5,14318,37.4503842173,126.8903998605
능촌한우식당,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 노온사동 409-11,경기도 광명시 능촌1길 3,14302,37.443100588,126.8475151153
니꼴밀러,소매,가방/신발/액세서리,구두제화/캐주얼화,신발 소매업,이천일아울렛,경기도 광명시 철산동 261,경기도 광명시 철산로 4,14237,37.4751822043,126.8670629914
니나노,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 소하동 1338-1,경기도 광명시 소하로109번길 19,14316,37.4475767663,126.8849231279
니나리찌골프,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,이천일아울렛,경기도 광명시 철산동 261,경기도 광명시 철산로 4,14237,37.4751822043,126.8670629914
니누아,소매,가정/주방/인테리어,정수기연수기,가전제품 소매업,,경기도 광명시 광명동 738-5,경기도 광명시 도덕로38번길 4,14282,37.4680187904,126.8518155899
니케헤어샵,생활서비스,이/미용/건강,여성미용실,두발미용업,,경기도 광명시 광명동 108-4,경기도 광명시 명일로 32,14218,37.4821536908,126.8576210848
닐리,음식,한식,한식/백반/한정식,한식 음식점업,철산푸르지오하늘채아파트,경기도 광명시 철산동 637,경기도 광명시 광덕산로 5,14241,37.4721116979,126.8687190176
다감,소매,건강/미용식품,건강식품판매,건강보조식품 소매업,,경기도 광명시 철산동 472-14,경기도 광명시 도덕공원로 70,14250,37.4748186567,126.8643504501
다기조아,음식,유흥주점,호프/맥주,기타 주점업,광명역세권휴먼시아,경기도 광명시 소하동 1373,경기도 광명시 성채안로 26,14325,37.4345957284,126.8873501787
다나약국,소매,의약/의료품소매,의약품소매,의약품 및 의료용품 소매업,하안1단지고층주공아파트,경기도 광명시 하안동 682,경기도 광명시 안현로 15,14245,37.4648822203,126.8736828706
다나한,소매,화장품소매,화장품판매점,화장품 및 방향제 소매업,이천일아울렛,경기도 광명시 철산동 261,경기도 광명시 철산로 4,14237,37.4751822043,126.8670629914
다남한의원,의료,병원,한의원,한의원,,경기도 광명시 하안동 36-4,경기도 광명시 범안로 1050,14305,37.4620684987,126.8796783437
다누리,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 소하동 1241-11,경기도 광명시 충현로 1,14327,37.4361292215,126.880184143
다누리,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 광명동 725-1,경기도 광명시 도덕로 42,14279,37.4683799384,126.8524026725
다니엘코리아,소매,종합소매점,잡화점,그외 기타 종합 소매업,,경기도 광명시 철산동 466-2,경기도 광명시 도덕공원로 87,14251,37.4761779074,126.8632852522
다님,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 광명동 158-1349,경기도 광명시 오리로 989-1,14286,37.4794631423,126.8531492378
다다홈,소매,가정/주방/인테리어,침구/수예품,가정용 직물제품 소매업,하안4단지고층주공아파트,경기도 광명시 하안동 651,경기도 광명시 안현로 36,14248,37.4637420221,126.8774601449
다로보안시스템,생활서비스,물품기기대여,물품대여종합,그외 기타 개인 및 가정용품 임대업,,경기도 광명시 하안동 605-6,경기도 광명시 안재로10번길 30-1,14259,37.460684647,126.8746734426
다모아,소매,사무/문구/컴퓨터,사무/문구용품,문구용품 소매업,명보빌라,경기도 광명시 광명동 726-11,경기도 광명시 도덕로38번길 13,14279,37.4672627045,126.8524049119
다모아,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 소하동 35-4,경기도 광명시 금하로 534-3,14318,37.4508539453,126.8916762145
다모아,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,크로앙스,경기도 광명시 광명동 150-19,경기도 광명시 오리로 970,14220,37.4793760842,126.8555688275
다모아간장게장,음식,일식/수산물,게장전문,한식 음식점업,,경기도 광명시 하안동 334-18,경기도 광명시 범안로 917,14260,37.4554865621,126.8672116367
다모아김밥촌,음식,분식,라면김밥분식,분식 및 김밥 전문점,,경기도 광명시 광명동 158-1102,경기도 광명시 오리로 1014,14203,37.4805683603,126.8507954134
다모아미용실,생활서비스,이/미용/건강,여성미용실,두발미용업,,경기도 광명시 광명동 42-9,경기도 광명시 오리로949번길 27,14266,37.4759893461,126.8563781425
다몽꽃삼겹살,음식,한식,갈비/삼겹살,한식 음식점업,로데오빌딩,경기도 광명시 철산동 264,경기도 광명시 철산로 12,14237,37.4754620315,126.8675146888
다미,음식,유흥주점,호프/맥주,기타 주점업,,경기도 광명시 하안동 303-1,경기도 광명시 오리로651번길 6,14303,37.4594068282,126.876156275
다복공인중개사,부동산,부동산중개,부동산중개,부동산 자문 및 중개업,,경기도 광명시 소하동 909-13,경기도 광명시 오리로 401,14333,37.4381282293,126.8790170333
다복농산,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,,경기도 광명시 광명동 664-3,경기도 광명시 광명로 635-5,14300,37.4571603636,126.8438805892
다복약품,소매,의약/의료품소매,의료용품소매,의약품 및 의료용품 소매업,대영빌딩,경기도 광명시 광명동 720-8,경기도 광명시 도덕로 61-1,14276,37.4696798025,126.8543217845
다복전,음식,분식,라면김밥분식,분식 및 김밥 전문점,프라자빌딩,경기도 광명시 철산동 437,경기도 광명시 철산로30번길 9,14239,37.475519016,126.8700921495
다빈치당구장,관광/여가/오락,PC/오락/당구/볼링등,당구장,당구장 운영업,,경기도 광명시 하안동 35-7,경기도 광명시 하안로287번길 15,14305,37.4604910804,126.8790366698
다빈치미술무용학원,학문/교육,학원-음악미술무용,학원-무용,예술 학원,동명빌딩,경기도 광명시 하안동 52-1,경기도 광명시 하안로287번길 11,14305,37.4607078163,126.879511033
다빈탁구장,관광/여가/오락,PC/오락/당구/볼링등,탁구장,그외 기타 스포츠시설 운영업,광동빌딩,경기도 광명시 철산동 439,경기도 광명시 철산로30번길 11,14239,37.475212716,126.8701266066
다사랑노래연습장,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,,경기도 광명시 광명동 102-13,경기도 광명시 광명로 930,14219,37.4816017487,126.8557340484
다사랑이비인후과,의료,병원,이비인후과의원,일반 의원,태홍빌딩,경기도 광명시 하안동 51,경기도 광명시 하안로 289,14305,37.4615464144,126.8801539263
다사케오뎅빠,음식,유흥주점,소주방/포장마차,기타 주점업,정산빌딩,경기도 광명시 하안동 200-2,경기도 광명시 하안로 254,14307,37.4591256325,126.8829835416
다산기업,생활서비스,광고/인쇄,광고물제작,간판 및 광고물 제조업,,경기도 광명시 노온사동 582,경기도 광명시 사들로 15,14336,37.4335195967,126.8449926952
다산텍컴퓨터,생활서비스,개인/가정용품수리,컴퓨터수리,컴퓨터 및 사무용 기기 수리업,주공상가,경기도 광명시 철산동 235-4,경기도 광명시 모세로 55,14231,37.4814031413,126.8706470367
다솜,소매,종합소매점,생활용품판매,그외 기타 종합 소매업,철산13단지주공아파트,경기도 광명시 철산동 241,경기도 광명시 철산로 57,14232,37.4791235004,126.8705379974
다솜건축인테리어,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,그외 기타 분류안된 가정용품 소매업,,경기도 광명시 광명동 276-35,경기도 광명시 광오로24번길 7,14289,37.4762964113,126.8498431272
다솜베이비스튜디오,생활서비스,사진,사진관,인물사진 및 행사용비디오 촬영업,,경기도 광명시 하안동 36-4,경기도 광명시 범안로 1050,14305,37.4620684987,126.8796783437
다솜인테리어,소매,가정/주방/인테리어,지물판매,벽지 및 장판류 소매업,,경기도 광명시 광명동 276-35,경기도 광명시 광오로24번길 7,14289,37.4762964113,126.8498431272
다솜푸드,소매,음/식료품소매,식료품점,기타 식료품 소매업,,경기도 광명시 광명동 572-14,경기도 광명시 원광명로37번길 11,14283,37.461684286,126.8514327289
다시래,음식,한식,한식/백반/한정식,한식 음식점업,정하우스,경기도 광명시 일직동 523-8,경기도 광명시 양달로10번길 11-6,14351,37.4132457645,126.882175642
다시래2,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 일직동 522-10,경기도 광명시 양달로10번길 7-11,14351,37.413659776,126.8817344413
다싸다,소매,가구소매,일반가구소매,가구 소매업,,경기도 광명시 광명동 5-33,경기도 광명시 광복로 69,14204,37.4901283123,126.8658486676
다연약국,의료,약국/한약방,약국,의약품 및 의료용품 소매업,,경기도 광명시 하안동 36-5,경기도 광명시 하안로 295,14305,37.4619065194,126.8798707613
다오네,음식,한식,한식/백반/한정식,한식 음식점업,,경기도 광명시 하안동 599-3,경기도 광명시 안재로14번길 26-1,14259,37.46073808,126.8740969046
다오래,소매,음/식료품소매,식자재판매,기타 식료품 소매업,,경기도 광명시 가학동 237,경기도 광명시 가학로 97-30,14341,37.4165491558,126.8628424841
다오아트스쿨,학문/교육,학원-음악미술무용,서예/서화/미술,예술 학원,한일빌딩,경기도 광명시 하안동 34,경기도 광명시 하안로 315,14248,37.4633468729,126.8786815582
다올헤어,생활서비스,이/미용/건강,여성미용실,두발미용업,휴먼시아1단지아파트,경기도 광명시 소하동 1284,경기도 광명시 소하로 10,14312,37.4541547327,126.8855909114
다우설비,소매,가정/주방/인테리어,유리/페인트/철물건축자재,"페인트, 유리 및 기타 건설자재 소매업",장미연립,경기도 광명시 광명동 374-7,경기도 광명시 광화로 5-16,14295,37.4721522341,126.8501568009
다우인테리어,소매,가정/주방/인테리어,지물판매,벽지 및 장판류 소매업,,경기도 광명시 광명동 267-7,경기도 광명시 광오로17번길 13,14291,37.4742963515,126.8499602545
다원스킨케어,생활서비스,이/미용/건강,비만/피부관리,,,경기도 광명시 광명동 334-19,경기도 광명시 광명로832번길 19-1,14273,37.4727695875,126.8538182632
다원어린이집,학문/교육,유아교육,어린이집,보육시설 운영업,휴먼시아4단지아파트,경기도 광명시 소하동 1292,경기도 광명시 소하로 55,14315,37.4505498827,126.8847376379
다육숲,소매,선물/팬시/기념품,꽃집/꽃배달,화초 및 산식물 소매업,,경기도 광명시 소하동 218,경기도 광명시 오리로 470,14323,37.4443559979,126.8807922328
다은농원,소매,선물/팬시/기념품,꽃집/꽃배달,화초 및 산식물 소매업,,경기도 광명시 노온사동 385-1,경기도 광명시 광명로 451,14336,37.4413012976,126.8427954563
다음생식,소매,건강/미용식품,생식판매,건강보조식품 소매업,철산13단지주공아파트,경기도 광명시 철산동 241,경기도 광명시 철산로 57,14232,37.4791235004,126.8705379974
다음악기,소매,취미/오락관련소매,악기판매,악기 소매업,뉴코아아울렛,경기도 광명시 하안동 38,경기도 광명시 하안로287번길 8,14305,37.4611311432,126.8793747023
다음통신,소매,사진/광학/정밀기기소매,핸드폰소매,통신기기 소매업,크로앙스,경기도 광명시 광명동 150-19,경기도 광명시 오리로 970,14220,37.4793760842,126.8555688275
다이꼬지,음식,유흥주점,호프/맥주,기타 주점업,광명테크노파크,경기도 광명시 소하동 1345,경기도 광명시 하안로 60,14322,37.4446218805,126.8947591629
다이소,소매,종합소매점,잡화점,그외 기타 종합 소매업,철산빌딩,경기도 광명시 철산동 482,경기도 광명시 오리로 865,14250,37.4752619234,126.8658758155
다이소,소매,종합소매점,생활용품판매,그외 기타 종합 소매업,광명빌딩,경기도 광명시 광명동 158-86,경기도 광명시 광명로 907,14202,37.4798520109,126.854290343
다이소광명소하점,소매,종합소매점,생활용품판매,그외 기타 종합 소매업,,경기도 광명시 소하동 38-2,경기도 광명시 금하로 522,14318,37.4505190547,126.8900719197
다이아나나이트클럽,관광/여가/오락,무도/유흥/가무,나이트클럽,무도유흥 주점업,DIANAHOTEL,경기도 광명시 철산동 447,경기도 광명시 디지털로 27,14239,37.4740417908,126.8704565192
"다이어트복싱,에어로빅",스포츠,실내운동시설,헬스클럽,체력단련시설 운영업,뉴코아빌딩,경기도 광명시 하안동 52-5,경기도 광명시 하안로287번길 5,14305,37.4610147322,126.8800643719
다이와스시,음식,일식/수산물,음식점-초밥전문,일식 음식점업,동원빌딩,경기도 광명시 철산동 463-92,경기도 광명시 시청로 11,14216,37.4779890122,126.8633723272
다인디톡스클럽,소매,건강/미용식품,건강식품판매,건강보조식품 소매업,도덕파크타운,경기도 광명시 철산동 617,경기도 광명시 도덕공원로 17,14253,37.4708205558,126.8663474023
다인미술,학문/교육,학원-음악미술무용,서예/서화/미술,예술 학원,한일빌딩,경기도 광명시 하안동 34,경기도 광명시 하안로 315,14248,37.4633468729,126.8786815582
다인미술교습소,학문/교육,학원-음악미술무용,서예/서화/미술,예술 학원,한일빌딩,경기도 광명시 하안동 34,경기도 광명시 하안로 315,14248,37.4633468729,126.8786815582
