상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,건물명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
44천하,소매,건강/미용식품,건강식품판매,건강보조식품 소매업,충무빌라,경기도 광명시 철산동 77-35,경기도 광명시 연서일로39번길 3-5,14213,37.4845669967,126.8639819523
45년의정부부대찌개,음식,한식,부대찌개/섞어찌개,한식 음식점업,광명테크노파크,경기도 광명시 소하동 1345,경기도 광명시 하안로 60,14322,37.4446218805,126.8947591629
4989부동산,부동산,부동산중개,부동산중개,부동산 자문 및 중개업,한신빌라,경기도 광명시 광명동 158-395,경기도 광명시 오리로949번길 5,14263,37.4778194675,126.8572677003
52베이커리카페,음식,제과제빵떡케익,제과점,제과점업,대교빌딩,경기도 광명시 소하동 1340-2,경기도 광명시 오리로 518,14316,37.4481323936,126.8819613981
52어린이집,학문/교육,유아교육,어린이집,보육시설 운영업,,경기도 광명시 소하동 1347,경기도 광명시 소하로 144,14321,37.4445984041,126.8889507645
55천하,소매,건강/미용식품,다이어트상품판매,건강보조식품 소매업,철산10단지주공아파트,경기도 광명시 철산동 105,경기도 광명시 가마산로 11,14229,37.485482397,126.8686498849
59피자,음식,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",서빈빌딩,경기도 광명시 철산동 509-267,경기도 광명시 도덕공원로 23,14253,37.471269926,126.8653744011
5단지카,생활서비스,자동차/이륜차,자동차정비/카센타,,하안5단지고층주공아파트,경기도 광명시 하안동 702,경기도 광명시 가림로 38,14258,37.4648542715,126.8649001015
60계치킨,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,스페이스타원,경기도 광명시 소하동 55-63,경기도 광명시 하안로 200,14313,37.4549305852,126.8865955783
7080옷나라,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,태화빌딩,경기도 광명시 소하동 1268,경기도 광명시 오리로 366,14327,37.4349393477,126.8796550325
72쎄븐-투골프클럽,소매,운동/경기용품소매,운동/경기용품,운동 및 경기용품 소매업,동원빌딩,경기도 광명시 철산동 463-92,경기도 광명시 시청로 11,14216,37.4779890122,126.8633723272
77마트,소매,종합소매점,수퍼마켓,슈퍼마켓,,경기도 광명시 소하동 356,경기도 광명시 설월로 30-5,14332,37.4406560493,126.8752613142
79비어포차,음식,유흥주점,소주방/포장마차,기타 주점업,광장프라자,경기도 광명시 소하동 1338-3,경기도 광명시 소하로109번길 13-8,14316,37.4472159259,126.8844829615
7돔삼다원,소매,선물/팬시/기념품,꽃집/꽃배달,화초 및 산식물 소매업,,경기도 광명시 광명동 539-11,경기도 광명시 광명로 683,14300,37.4612704811,126.845047394
88공인중개사사무소,부동산,부동산중개,부동산중개,부동산 자문 및 중개업,,경기도 광명시 광명동 59-1,경기도 광명시 광일로 12,14211,37.484262292,126.8578431309
88분식,음식,분식,라면김밥분식,분식 및 김밥 전문점,,경기도 광명시 광명동 77-9,경기도 광명시 사성로46번길 28,14213,37.4841510713,126.8627390181
